
2024/03/11 (10:43:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (10:43:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (10:43:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/11 (10:55:02) | ===> btop++ v.1.3.2
2024/03/11 (10:55:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (10:55:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (10:55:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (10:55:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (10:55:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (10:55:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/11 (20:06:15) | ===> btop++ v.1.3.2
2024/03/11 (20:06:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (20:06:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (20:06:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (20:06:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (20:06:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (20:06:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/11 (20:21:23) | ===> btop++ v.1.3.2
2024/03/11 (20:21:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (20:21:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (20:21:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (20:21:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (20:21:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (20:21:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/12 (21:01:02) | ===> btop++ v.1.3.2
2024/03/12 (21:01:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:01:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/12 (21:01:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:01:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/12 (21:01:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/12 (21:01:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/03/12 (21:01:10) | WARNING: Failed to join _runner thread on exit!
2024/03/12 (21:01:10) | ERROR: No response from Runner thread, quitting!

2024/03/12 (21:30:08) | ===> btop++ v.1.3.2
2024/03/12 (21:30:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:30:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/12 (21:30:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:30:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/12 (21:30:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/12 (21:30:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/12 (21:31:11) | ===> btop++ v.1.3.2
2024/03/12 (21:31:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:31:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/12 (21:31:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:31:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/12 (21:31:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/12 (21:31:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/12 (21:46:00) | ===> btop++ v.1.3.2
2024/03/12 (21:46:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:46:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/12 (21:46:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:46:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/12 (21:46:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/12 (21:46:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/12 (21:46:07) | ===> btop++ v.1.3.2
2024/03/12 (21:46:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:46:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/12 (21:46:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/12 (21:46:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/12 (21:46:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/12 (21:46:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/03/12 (21:46:13) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:19) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:25) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:31) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:37) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:43) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:49) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:46:55) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:01) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:07) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:13) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:19) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:25) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:31) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:37) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:43) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:49) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:47:55) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:48:01) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:48:07) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:48:13) | ERROR: Stall in Runner thread, restarting!
2024/03/12 (21:48:19) | ERROR: Stall in Runner thread, restarting!

2024/03/14 (14:05:16) | ===> btop++ v.1.3.2
2024/03/14 (14:05:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/14 (14:05:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/14 (14:05:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/14 (14:05:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/14 (14:05:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/14 (14:05:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/14 (19:12:41) | ===> btop++ v.1.3.2
2024/03/14 (19:12:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/14 (19:12:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/14 (19:12:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/14 (19:12:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/14 (19:12:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/14 (19:12:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/16 (23:46:05) | ===> btop++ v.1.3.2
2024/03/16 (23:46:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/16 (23:46:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/16 (23:46:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/16 (23:46:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/16 (23:46:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/16 (23:46:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/18 (08:37:46) | ===> btop++ v.1.3.2
